,Issue Number,Issue Title,Issue Label,Issue state,Issue Body,Issue Comments
1,977,chore: renaming rawIndex to desiredIndex,[],open,Renamed `insert` second parameter using a more descriptive name.,[]
2,976,Bump json5 from 1.0.1 to 1.0.2,"[Label(name=""dependencies"")]",open,"Bumps [json5](https://github.com/json5/json5) from 1.0.1 to 1.0.2.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""https://github.com/json5/json5/releases"">json5's releases</a>.</em></p>
<blockquote>
<h2>v1.0.2</h2>
<ul>
<li>Fix: Properties with the name <code>__proto__</code> are added to objects and arrays. (<a href=""https://github-redirect.dependabot.com/json5/json5/issues/199"">#199</a>) This also fixes a prototype pollution vulnerability reported by Jonathan Gregson! (<a href=""https://github-redirect.dependabot.com/json5/json5/issues/295"">#295</a>). This has been backported to v1. (<a href=""https://github-redirect.dependabot.com/json5/json5/issues/298"">#298</a>)</li>
</ul>
</blockquote>
</details>
<details>
<summary>Changelog</summary>
<p><em>Sourced from <a href=""https://github.com/json5/json5/blob/main/CHANGELOG.md"">json5's changelog</a>.</em></p>
<blockquote>
<h3>Unreleased [<a href=""https://github.com/json5/json5/tree/main"">code</a>, <a href=""https://github.com/json5/json5/compare/v2.2.3...HEAD"">diff</a>]</h3>
<h3>v2.2.3 [<a href=""https://github.com/json5/json5/tree/v2.2.3"">code</a>, <a href=""https://github.com/json5/json5/compare/v2.2.2...v2.2.3"">diff</a>]</h3>
<ul>
<li>Fix: json5@2.2.3 is now the 'latest' release according to npm instead of
v1.0.2. (<a href=""https://github-redirect.dependabot.com/json5/json5/issues/299"">#299</a>)</li>
</ul>
<h3>v2.2.2 [<a href=""https://github.com/json5/json5/tree/v2.2.2"">code</a>, <a href=""https://github.com/json5/json5/compare/v2.2.1...v2.2.2"">diff</a>]</h3>
<ul>
<li>Fix: Properties with the name <code>__proto__</code> are added to objects and arrays.
(<a href=""https://github-redirect.dependabot.com/json5/json5/issues/199"">#199</a>) This also fixes a prototype pollution vulnerability reported by
Jonathan Gregson! (<a href=""https://github-redirect.dependabot.com/json5/json5/issues/295"">#295</a>).</li>
</ul>
<h3>v2.2.1 [<a href=""https://github.com/json5/json5/tree/v2.2.1"">code</a>, <a href=""https://github.com/json5/json5/compare/v2.2.0...v2.2.1"">diff</a>]</h3>
<ul>
<li>Fix: Removed dependence on minimist to patch CVE-2021-44906. (<a href=""https://github-redirect.dependabot.com/json5/json5/issues/266"">#266</a>)</li>
</ul>
<h3>v2.2.0 [<a href=""https://github.com/json5/json5/tree/v2.2.0"">code</a>, <a href=""https://github.com/json5/json5/compare/v2.1.3...v2.2.0"">diff</a>]</h3>
<ul>
<li>New: Accurate and documented TypeScript declarations are now included. There
is no need to install <code>@types/json5</code>. (<a href=""https://github-redirect.dependabot.com/json5/json5/issues/236"">#236</a>, <a href=""https://github-redirect.dependabot.com/json5/json5/issues/244"">#244</a>)</li>
</ul>
<h3>v2.1.3 [<a href=""https://github.com/json5/json5/tree/v2.1.3"">code</a>, <a href=""https://github.com/json5/json5/compare/v2.1.2...v2.1.3"">diff</a>]</h3>
<ul>
<li>Fix: An out of memory bug when parsing numbers has been fixed. (<a href=""https://github-redirect.dependabot.com/json5/json5/issues/228"">#228</a>,
<a href=""https://github-redirect.dependabot.com/json5/json5/issues/229"">#229</a>)</li>
</ul>
<h3>v2.1.2 [<a href=""https://github.com/json5/json5/tree/v2.1.2"">code</a>, <a href=""https://github.com/json5/json5/compare/v2.1.1...v2.1.2"">diff</a>]</h3>
<!-- raw HTML omitted -->
</blockquote>
<p>... (truncated)</p>
</details>
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/json5/json5/commit/a62db1e51e1031d92ac260f5bb38bbed1fdbc754""><code>a62db1e</code></a> 1.0.2</li>
<li><a href=""https://github.com/json5/json5/commit/e0c23fe458a77c0b2cdb271376be5d8d0908133c""><code>e0c23fe</code></a> docs: update CHANGELOG for v1.0.2</li>
<li><a href=""https://github.com/json5/json5/commit/62a65408408d40aeea14c7869ed327acead12972""><code>62a6540</code></a> fix: add <strong>proto</strong> to objects and arrays</li>
<li>See full diff in <a href=""https://github.com/json5/json5/compare/v1.0.1...v1.0.2"">compare view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=json5&package-manager=npm_and_yarn&previous-version=1.0.1&new-version=1.0.2)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
- `@dependabot use these labels` will set the current labels as the default for future PRs for this repo and language
- `@dependabot use these reviewers` will set the current reviewers as the default for future PRs for this repo and language
- `@dependabot use these assignees` will set the current assignees as the default for future PRs for this repo and language
- `@dependabot use this milestone` will set the current milestone as the default for future PRs for this repo and language

You can disable automated security fix PRs for this repo from the [Security Alerts page](https://github.com/trekhleb/javascript-algorithms/network/alerts).

</details>",[]
3,974,Suggested an additional LCS,[],open,I've added a new resource to this repository that I feel would be helpful for learners and this problem is solved using a dynamic programming approach.,[]
4,973,Added a useful resource,[],open,"Adding a helpful link that discusses data structure in detail, I hope you will like this as it will add value to your repository and readers. Thank you.",[]
5,972,year update,[],open,Updated the year to the current year in Licence,[]
6,971,Add Spanish translation,[],open,,[]
7,966,Update README.md,[],open,Fixed some typos on README.,[]
8,962,Update factorial.js,[],open,your function makes an infinite loop,[]
9,960,Eu realmente não entendi,[],open,"Sou iniciante nessa área de programação e recentemente estou pesquisando/aprendendo sobre JavaScript/CSS/HTML, porém recentemente estou tendo um grande problema em um cod que era parar ser uma calculadora (bem básico, eu sei), porém o resultado simplesmente não sai e eu não encontro onde errei.
CODIGO:
[test.txt](https://github.com/trekhleb/javascript-algorithms/files/10035387/test.txt)
",['@Hirasawa-San Ja tem 24 dias e niguem respondeu voce ja conseguiu entender algo? Qualquer coisa me avisa te adiciono num discord aqui']
10,959,Update README.ar-AR.md,[],open,fixing the arabic grammer and a typo,[]
