,Pull Request Number,Pull Request State,Pull Request Body,Number of files changed,File Names,Number of Commits,Commit Messages,Commits Data,Review Comments
1,68,open,"This is a javascript implementation of the Bidirectional Conditional Insertion Sort algorithm published by Future Computer Systems Volume 71, June 2017, Pages 102-112. Read about it here: 
https://www.sciencedirect.com/science/article/pii/S0167739X17301711?via%3Dihub",6,"['README.md', 'package-lock.json', 'src/algorithms/sorting/SortTester.js', 'src/algorithms/sorting/bidirectional-conditional-insertion-sort/BCIS.js', 'src/algorithms/sorting/bidirectional-conditional-insertion-sort/README.md', 'src/algorithms/sorting/bidirectional-conditional-insertion-sort/__test__/BCISort.test.js']",13,"['added Bidirectional Conditional Insertion Sort', ""Merge branch 'master' into master"", 'cleaned up with eslint', ""Merge branch 'master' into master"", 'Passing eslist && npm test.', ""Merge branch 'master' of https://github.com/christian4423/javascript-algorithms"", 'improved tests', 'Working on getting tests to 100%', 'forgot to remove function', 'made large arrays break', ""Merge branch 'master' into master"", ""Merge branch 'master' into master"", ""Merge branch 'master' into master""]","{'Name': 'src/algorithms/sorting/bidirectional-conditional-insertion-sort/__test__/BCISort.test.js', 'Line Additions': 80, 'Line Deletions': 0, 'Patch': ""@@ -0,0 +1,80 @@\n+import BCIS from '../BCIS';\n+import {\n+  equalArr,\n+  notSortedArr,\n+  reverseArr,\n+  sortedArr,\n+  largeArr,\n+  mostlySortedlargeArr,\n+  SortTester,\n+} from '../../SortTester';\n+\n+// Complexity constants.\n+const SORTED_ARRAY_VISITING_COUNT = 26;\n+const NOT_SORTED_ARRAY_VISITING_COUNT = 20;\n+const REVERSE_SORTED_ARRAY_VISITING_COUNT = 26;\n+const EQUAL_ARRAY_VISITING_COUNT = 90;\n+const LARGE_ARRAY_VISITING_COUNT = 705;\n+const MOSTLY_LARGE_ARRAY_VISITING_COUNT = 293;\n+\n+describe('BCIS', () => {\n+  it('should sort array', () => {\n+    SortTester.testSort(BCIS);\n+  });\n+\n+  it('should sort array with custom comparator', () => {\n+    SortTester.testSortWithCustomComparator(BCIS);\n+  });\n+  it('should visit EQUAL array element specified number of times', () => {\n+    SortTester.testAlgorithmTimeComplexity(\n+      BCIS,\n+      equalArr,\n+      EQUAL_ARRAY_VISITING_COUNT,\n+    );\n+  });\n+\n+  it('should visit SORTED array element specified number of times', () => {\n+    SortTester.testAlgorithmTimeComplexity(\n+      BCIS,\n+      sortedArr,\n+      SORTED_ARRAY_VISITING_COUNT,\n+    );\n+  });\n+\n+  it('should visit NOT SORTED array element specified number of times', () => {\n+    SortTester.testAlgorithmTimeComplexity(\n+      BCIS,\n+      notSortedArr,\n+      NOT_SORTED_ARRAY_VISITING_COUNT,\n+    );\n+  });\n+\n+  it('should visit REVERSE SORTED array element specified number of times', () => {\n+    SortTester.testAlgorithmTimeComplexity(\n+      BCIS,\n+      reverseArr,\n+      REVERSE_SORTED_ARRAY_VISITING_COUNT,\n+    );\n+  });\n+  it('should visit NOT SORTED LARGE array element specified number of times', () => {\n+    SortTester.testAlgorithmTimeComplexity(\n+      BCIS,\n+      largeArr,\n+      LARGE_ARRAY_VISITING_COUNT,\n+    );\n+  });\n+  it('should visit MOSTLY SORTED LARGE array element specified number of times', () => {\n+    SortTester.testAlgorithmTimeComplexity(\n+      BCIS,\n+      mostlySortedlargeArr,\n+      MOSTLY_LARGE_ARRAY_VISITING_COUNT,\n+    );\n+  });\n+  it('An Array object is required', () => {\n+    SortTester.testAlgorithmTimeWithoutArray(\n+      BCIS,\n+      null,\n+      0,\n+    );\n+  });\n+});""}",[]
2,128,open,,3,"['src/data-structures/linked-list/LinkedList.js', 'src/data-structures/linked-list/__test__/LinkedList.test.js', 'src/data-structures/queue/Queue.js']",15,"[""Added new function and test\n\nAdded function  'addToPosition' which add new node to specified position in the list."", 'Minor bugs', 'Minor bugs\n\nMinor bugs about tabs and spaces.', ""Minor bugs\n\n  199:17  error  A space is required after '{'                 object-curly-spacing\n  199:57  error  A space is required before '}'                object-curly-spacing\n  201:1   error  Expected indentation of 6 spaces but found 8  indent\n  218:13  error  Infix operators must be spaced                space-infix-ops\n  225:7   error  Unary operator '++' used                      no-plusplus"", 'Spaces', 'spaces', 'New version of queue\n\nInside linked list is protected from user.\nIn previous version for example I was able to add node to list.head', 'Bugs\n\n5:23  error    Move the invocation into the parens that contain the function  wrap-iife\n   5:24  warning  Unexpected unnamed function                                    func-names\n   5:32  error    Missing space before function parentheses                      space-before-function-paren\n   6:11  error    \'temp\' is never reassigned. Use \'const\' instead                prefer-const\n   6:19  error    Multiple spaces found before \'new\'                             no-multi-spaces\n   9:9   error    Expected method shorthand                                      object-shorthand\n   9:18  warning  Unexpected unnamed method \'isEmpty\'                            func-names\n   9:26  error    Missing space before function parentheses                      space-before-function-paren\n  12:9   error    Expected method shorthand                                      object-shorthand\n  12:15  warning  Unexpected unnamed method \'peek\'                               func-names\n  12:23  error    Missing space before function parentheses                      space-before-function-paren\n  13:11  error    Expected space(s) after ""if""                                   keyword-spacing\n  20:9   error39m    Expected method shorthand                                      object-shorthand\n  20:18  warning  Unexpected unnamed method \'enqueue\'                            func-names\n  20:26  error    Missing space before function parentheses                      space-before-function-paren\n  24:9   error    Expected method shorthand                                      object-shorthand\n  24:18  warning  Unexpected unnamed method \'dequeue\'                            func-names\n  24:26  error    Missing space before function parentheses                      space-before-function-paren\n  29:9   error    Expected method shorthand                                      object-shorthand\n  29:19  warning  Unexpected unnamed method \'toString\'                           func-names\n  29:27  error    Missing space before function parentheses                      space-before-function-paren\n  31:10  error    Missing trailing comma                                         comma-dangle', 'Bugs\n\n5:23  error    Move the invocation into the parens that contain the function  wrap-iife\n   5:24  warning  Unexpected unnamed function                                    func-names\n  14:11  error    Expected space(s) after ""if""                                   keyword-spacing\n  32:10  error    Missing trailing comma                                         comma-dangle\n  34:5   error    Unexpected space between function name and paren               func-call-spacing\n  34:5   error    Unexpected space between function name and paren               no-spaced-func', 'Minor spaces bugs\n\n5:23  error  There should be no spaces inside this paren  space-in-parens\n  34:7   error  There should be no spaces inside this paren  space-in-parens', ""Merge branch 'master' into master"", 'Stack is more simplier\n\nStack is now more simplier to understand and without any redundant functionality from linked list class', 'Revert ""Stack is more simplier""\n\nThis reverts commit 0032e94cf1fa8c47361ab6ef15744101ee9b8593.', ""Merge branch 'master' into master"", ""Merge branch 'master' into master""]","{'Name': 'src/data-structures/queue/Queue.js', 'Line Additions': 34, 'Line Deletions': 10, 'Patch': ""@@ -2,28 +2,52 @@ import LinkedList from '../linked-list/LinkedList';\n \n export default class Queue {\n   constructor() {\n-    this.linkedList = new LinkedList();\n+    this.linkedList = (() => {\n+      const temp = new LinkedList();\n+\n+      return {\n+        isEmpty: () => {\n+          return !temp.tail;\n+        },\n+\n+        peek: () => {\n+          if (!temp.head) {\n+            return null;\n+          }\n+\n+          return temp.head.value;\n+        },\n+\n+        enqueue: (value) => {\n+          temp.append(value);\n+        },\n+\n+        dequeue: () => {\n+          const removedHead = temp.deleteHead();\n+          return removedHead ? removedHead.value : null;\n+        },\n+\n+        toString: (callback) => {\n+          return temp.toString(callback);\n+        },\n+      };\n+    })();\n   }\n \n   isEmpty() {\n-    return !this.linkedList.tail;\n+    return this.linkedList.isEmpty();\n   }\n \n   peek() {\n-    if (!this.linkedList.head) {\n-      return null;\n-    }\n-\n-    return this.linkedList.head.value;\n+    return this.linkedList.peek();\n   }\n \n   enqueue(value) {\n-    this.linkedList.append(value);\n+    return this.linkedList.enqueue(value);\n   }\n \n   dequeue() {\n-    const removedHead = this.linkedList.deleteHead();\n-    return removedHead ? removedHead.value : null;\n+    return this.linkedList.dequeue();\n   }\n \n   toString(callback) {""}",[]
3,139,open,Function to extract 'k' bits from position 'p' and returns the extracted value as integer.,1,['src/algorithms/math/bits/extractBits.js'],3,"[""Create extractBits.js\n\nFunction to extract 'k' bits from position 'p' and returns the extracted value as integer."", 'Update extractBits.js', 'Update extractBits.js']","{'Name': 'src/algorithms/math/bits/extractBits.js', 'Line Additions': 13, 'Line Deletions': 0, 'Patch': ""@@ -0,0 +1,13 @@\n+/**\n+ * @param {number, number, number}\n+ * @return {number}\n+ */\n+ \n+ \n+ /*  Function to extract 'k' bits from position 'p'\n+  *  and returns the extracted value.\n+  *\n+  */\n+export default function extractBits(number, k, p) {\n+    return (((1 << k) - 1) & (number >> (p - 1)));\n+}""}",[]
4,149,open,Used library functions on arrays instead of loops.,1,['src/algorithms/uncategorized/rain-terraces/dpRainTerraces.js'],1,['Make Rain Terraces more terse using standard array functions'],"{'Name': 'src/algorithms/uncategorized/rain-terraces/dpRainTerraces.js', 'Line Additions': 6, 'Line Deletions': 38, 'Patch': ""@@ -5,43 +5,11 @@\n  * @return {number}\n  */\n export default function dpRainTerraces(terraces) {\n-  let waterAmount = 0;\n+  // Obtain the maximum elevations to the left and right of each terrace (inclusive).\n+  const maxL = terraces.reduce((acc, val, idx) => [...acc, Math.max(val, (acc[idx - 1] || 0))], []);\n+  const maxR = terraces.reduceRight((acc, val) => [Math.max(val, (acc[0] || 0)), ...acc], []);\n \n-  // Init arrays that will keep the list of left and right maximum levels for specific positions.\n-  const leftMaxLevels = new Array(terraces.length).fill(0);\n-  const rightMaxLevels = new Array(terraces.length).fill(0);\n-\n-  // Calculate the highest terrace level from the LEFT relative to the current terrace.\n-  [leftMaxLevels[0]] = terraces;\n-  for (let terraceIndex = 1; terraceIndex < terraces.length; terraceIndex += 1) {\n-    leftMaxLevels[terraceIndex] = Math.max(\n-      terraces[terraceIndex],\n-      leftMaxLevels[terraceIndex - 1],\n-    );\n-  }\n-\n-  // Calculate the highest terrace level from the RIGHT relative to the current terrace.\n-  rightMaxLevels[terraces.length - 1] = terraces[terraces.length - 1];\n-  for (let terraceIndex = terraces.length - 2; terraceIndex >= 0; terraceIndex -= 1) {\n-    rightMaxLevels[terraceIndex] = Math.max(\n-      terraces[terraceIndex],\n-      rightMaxLevels[terraceIndex + 1],\n-    );\n-  }\n-\n-  // Not let's go through all terraces one by one and calculate how much water\n-  // each terrace may accumulate based on previously calculated values.\n-  for (let terraceIndex = 0; terraceIndex < terraces.length; terraceIndex += 1) {\n-    // Pick the lowest from the left/right highest terraces.\n-    const currentTerraceBoundary = Math.min(\n-      leftMaxLevels[terraceIndex],\n-      rightMaxLevels[terraceIndex],\n-    );\n-\n-    if (currentTerraceBoundary > terraces[terraceIndex]) {\n-      waterAmount += currentTerraceBoundary - terraces[terraceIndex];\n-    }\n-  }\n-\n-  return waterAmount;\n+  // Convert maximum values to amount of water at current index and sum water values.\n+  const trap = terraces.map((val, idx) => Math.max(0, Math.min(maxL[idx], maxR[idx]) - val));\n+  return trap.reduce((acc, val) => acc + val);\n }""}",[]
5,150,open,Added implementation of efficient LIS (nlog(n) run time),2,"['src/algorithms/sets/longest-increasing-subsequence/__test__/longestIncreasingSubsequence.test.js', 'src/algorithms/sets/longest-increasing-subsequence/longestIncreasingSubsequence.js']",1,['Added Efficient LIS (nlog(n))'],"{'Name': 'src/algorithms/sets/longest-increasing-subsequence/longestIncreasingSubsequence.js', 'Line Additions': 28, 'Line Deletions': 0, 'Patch': '@@ -0,0 +1,28 @@\n+/**\n+ * Efficient approach to find longest increasing subsequence.\n+ * Complexity: O(n * log(n))\n+ *\n+ * @param {number[]} sequence\n+ * @return {number}\n+ */\n+export default function LongestIncreasingSubsequence(sequence) {\n+  // Retrieves the smallest number greater or equal to val in sorted arr.\n+  function upperBound(arr, val) {\n+    let lo = 0;\n+    let hi = arr.length;\n+\n+    while (lo < hi) {\n+      const mid = lo + Math.floor((hi - lo) / 2);\n+      if (arr[mid] < val) {\n+        lo = mid + 1;\n+      } else {\n+        hi = mid;\n+      }\n+    }\n+    return hi;\n+  }\n+\n+  const lis = [];\n+  sequence.forEach((val) => { lis[upperBound(lis, val)] = val; });\n+  return lis.length;\n+}'}",[]
6,160,open,Used standard javascript array functionality to condense implementation,1,['src/algorithms/sets/maximum-subarray/dpMaximumSubarray.js'],1,['Made maximum subarray solution more terse'],"{'Name': 'src/algorithms/sets/maximum-subarray/dpMaximumSubarray.js', 'Line Additions': 9, 'Line Deletions': 52, 'Patch': ""@@ -1,62 +1,19 @@\n /**\n- * Dynamic Programming solution.\n+ * Dynamic Programming solution using Kadane's algorithm.\n  * Complexity: O(n)\n  *\n  * @param {Number[]} inputArray\n  * @return {Number[]}\n  */\n export default function dpMaximumSubarray(inputArray) {\n-  // Check if all elements of inputArray are negative ones and return the highest\n-  // one in this case.\n-  let allNegative = true;\n-  let highestElementValue = null;\n-  for (let i = 0; i < inputArray.length; i += 1) {\n-    if (inputArray[i] >= 0) {\n-      allNegative = false;\n-    }\n+  // Use Kadane's algorithm to generate list of maximum sums ending/beginning at index.\n+  const endMax = inputArray.reduce((a, x, i) => a.concat([x + Math.max(0, a[i - 1] || 0)]), []);\n+  const begMax = inputArray.reduceRight((a, x) => [x + Math.max(0, a[0] || 0)].concat(a), []);\n \n-    if (highestElementValue === null || highestElementValue < inputArray[i]) {\n-      highestElementValue = inputArray[i];\n-    }\n-  }\n+  // Obtain the maximum value for the sum of subarrays.\n+  const maxVal = begMax.reduce((acc, val) => Math.max(acc, val), -Infinity);\n \n-  if (allNegative && highestElementValue !== null) {\n-    return [highestElementValue];\n-  }\n-\n-  // Let's assume that there is at list one positive integer exists in array.\n-  // And thus the maximum sum will for sure be grater then 0. Thus we're able\n-  // to always reset max sum to zero.\n-  let maxSum = 0;\n-\n-  // This array will keep a combination that gave the highest sum.\n-  let maxSubArray = [];\n-\n-  // Current sum and subarray that will memoize all previous computations.\n-  let currentSum = 0;\n-  let currentSubArray = [];\n-\n-  for (let i = 0; i < inputArray.length; i += 1) {\n-    // Let's add current element value to the current sum.\n-    currentSum += inputArray[i];\n-\n-    if (currentSum < 0) {\n-      // If the sum went below zero then reset it and don't add current element to max subarray.\n-      currentSum = 0;\n-      // Reset current subarray.\n-      currentSubArray = [];\n-    } else {\n-      // If current sum stays positive then add current element to current sub array.\n-      currentSubArray.push(inputArray[i]);\n-\n-      if (currentSum > maxSum) {\n-        // If current sum became greater then max registered sum then update\n-        // max sum and max subarray.\n-        maxSum = currentSum;\n-        maxSubArray = currentSubArray.slice();\n-      }\n-    }\n-  }\n-\n-  return maxSubArray;\n+  // Extract indices of maximum value from array & use them to slice input.\n+  const maxCmp = val => (val === maxVal);\n+  return inputArray.slice(begMax.findIndex(maxCmp), endMax.findIndex(maxCmp) + 1);\n }""}",[]
7,171,open,"The method for choosing the pivot as implemented at the moment results in degenerate behaviour when the array is already sorted or reverse sorted. A better way is to choose the median of three elements (first, mid, last) as the pivot. See Robert Sedgewick. Implementing Quicksort Programs. Commun. ACM, 1(10):847–857, October 1978.",3,"['src/algorithms/graph/kruskal/kruskal.js', 'src/algorithms/sorting/quick-sort/QuickSort.js', 'src/algorithms/sorting/quick-sort/__test__/QuickSort.test.js']",3,"['choose pivot from median of three elements for quicksort', ""Merge branch 'master' into master"", ""fix pivot picking and kruskal's algorithm""]","{'Name': 'src/algorithms/sorting/quick-sort/__test__/QuickSort.test.js', 'Line Additions': 4, 'Line Deletions': 4, 'Patch': ""@@ -8,10 +8,10 @@ import {\n } from '../../SortTester';\n \n // Complexity constants.\n-const SORTED_ARRAY_VISITING_COUNT = 190;\n-const NOT_SORTED_ARRAY_VISITING_COUNT = 62;\n-const REVERSE_SORTED_ARRAY_VISITING_COUNT = 190;\n-const EQUAL_ARRAY_VISITING_COUNT = 19;\n+const SORTED_ARRAY_VISITING_COUNT = 66;\n+const NOT_SORTED_ARRAY_VISITING_COUNT = 83;\n+const REVERSE_SORTED_ARRAY_VISITING_COUNT = 66;\n+const EQUAL_ARRAY_VISITING_COUNT = 20;\n \n describe('QuickSort', () => {\n   it('should sort array', () => {""}",[]
8,182,open,two strings are anagram or not,1,['src/algorithms/string/anagram.js'],5,"['Create anagram.js\n\ntwo strings are anagram or not', ""Merge branch 'master' into patch-1"", ""Merge branch 'master' into patch-1"", 'corrected the code and added indentation', 'Changed the identations']","{'Name': 'src/algorithms/string/anagram.js', 'Line Additions': 21, 'Line Deletions': 0, 'Patch': ""@@ -0,0 +1,21 @@\n+// TO CHECK IF TWO STRINGS ARE ANAGRAM OR NOT\n+\n+function anagram(word1, word2) {\n+  let sorted1 = word1.split('').sort().join(''); //SORTING WORD1\n+  let sorted2 = word2.split('').sort().join(''); //SORTING WORD2\n+\n+  //COMPARING LENGTH AND CHECKING === \n+  if (sorted1.length === sorted2.length && sorted1 === sorted2) {\n+        return true;\n+  }\n+  else{\n+        return false;\n+  }\n+}\n+\n+if(anagram('binary', 'brainy')){\n+  alert('AN ANAGRAM');  \n+}\n+else{\n+  alert('NOT AN ANAGRAM');\n+}""}",[]
9,186,open,"This PR adds support for complex data to the PriorityQueue class.

**Changes:**
- uses native JS `Map` data structure to store priorities. This way, objects, functions, or primitives can be used as keys. A plain JS `Object` coerces keys to strings, so different objects could all have the same key of `[object Object]`
- allows constructing a new `PriorityQueue` with a custom `compareValue` function, so complex data can be compared

example usage:
```js
const JOB1 = { type: 'job1' };
const JOB2 = { type: 'job2' };
const JOB3 = { type: 'job3' };

const compareByType = (a, b) => {
  if (a.type === b.type) {
    return 0;
  }
  return a.type < b.type ? -1 : 1;
};

const priorityQueue = new PriorityQueue(compareByType);

priorityQueue.add(JOB2, 2);
priorityQueue.peek(); // returns JOB2 

priorityQueue.add(JOB3, 3);
priorityQueue.peek(); // returns JOB2 

priorityQueue.add(JOB1, 1);
priorityQueue.peek(); // returns JOB1

priorityQueue.changePriority(JOB2, 0);
priorityQueue.peek(); // returns JOB2 

const existingJobType = { type: 'job1' };
const newJobType = { type: 'job4' };

priorityQueue.hasValue(existingJobType); // returns true
priorityQueue.hasValue(newJobType); // returns false
```",3,"['src/data-structures/heap/Heap.js', 'src/data-structures/priority-queue/PriorityQueue.js', 'src/data-structures/priority-queue/__test__/PriorityQueue.test.js']",3,"['Add support for complex data to PriorityQueue', 'add ability to change priority for a group of elements', 'use JSDoc optional parameter syntax']","{'Name': 'src/data-structures/priority-queue/__test__/PriorityQueue.test.js', 'Line Additions': 112, 'Line Deletions': 53, 'Patch': ""@@ -1,5 +1,11 @@\n import PriorityQueue from '../PriorityQueue';\n \n+const JOB1 = { type: 'job1' };\n+const JOB2 = { type: 'job2' };\n+const JOB3 = { type: 'job3' };\n+const JOB4 = { type: 'job4' };\n+const JOB5 = { type: 'job5' };\n+\n describe('PriorityQueue', () => {\n   it('should create default priority queue', () => {\n     const priorityQueue = new PriorityQueue();\n@@ -10,94 +16,147 @@ describe('PriorityQueue', () => {\n   it('should insert items to the queue and respect priorities', () => {\n     const priorityQueue = new PriorityQueue();\n \n-    priorityQueue.add(10, 1);\n-    expect(priorityQueue.peek()).toBe(10);\n+    priorityQueue.add(JOB1, 1);\n+    expect(priorityQueue.peek()).toBe(JOB1);\n \n-    priorityQueue.add(5, 2);\n-    expect(priorityQueue.peek()).toBe(10);\n+    priorityQueue.add(JOB2, 2);\n+    expect(priorityQueue.peek()).toBe(JOB1);\n \n-    priorityQueue.add(100, 0);\n-    expect(priorityQueue.peek()).toBe(100);\n+    priorityQueue.add(JOB3, 0);\n+    expect(priorityQueue.peek()).toBe(JOB3);\n   });\n \n   it('should poll from queue with respect to priorities', () => {\n     const priorityQueue = new PriorityQueue();\n \n-    priorityQueue.add(10, 1);\n-    priorityQueue.add(5, 2);\n-    priorityQueue.add(100, 0);\n-    priorityQueue.add(200, 0);\n+    priorityQueue.add(JOB1, 1);\n+    priorityQueue.add(JOB2, 2);\n+    priorityQueue.add(JOB3, 0);\n+    priorityQueue.add(JOB4, 0);\n \n-    expect(priorityQueue.poll()).toBe(100);\n-    expect(priorityQueue.poll()).toBe(200);\n-    expect(priorityQueue.poll()).toBe(10);\n-    expect(priorityQueue.poll()).toBe(5);\n+    expect(priorityQueue.poll()).toBe(JOB3);\n+    expect(priorityQueue.poll()).toBe(JOB4);\n+    expect(priorityQueue.poll()).toBe(JOB1);\n+    expect(priorityQueue.poll()).toBe(JOB2);\n   });\n \n   it('should be possible to change priority of internal nodes', () => {\n     const priorityQueue = new PriorityQueue();\n \n-    priorityQueue.add(10, 1);\n-    priorityQueue.add(5, 2);\n-    priorityQueue.add(100, 0);\n-    priorityQueue.add(200, 0);\n+    priorityQueue.add(JOB1, 1);\n+    priorityQueue.add(JOB2, 2);\n+    priorityQueue.add(JOB3, 0);\n+    priorityQueue.add(JOB4, 0);\n \n-    priorityQueue.changePriority(100, 10);\n-    priorityQueue.changePriority(10, 20);\n+    priorityQueue.changePriority(JOB4, 10);\n+    priorityQueue.changePriority(JOB1, 20);\n \n-    expect(priorityQueue.poll()).toBe(200);\n-    expect(priorityQueue.poll()).toBe(5);\n-    expect(priorityQueue.poll()).toBe(100);\n-    expect(priorityQueue.poll()).toBe(10);\n+    expect(priorityQueue.poll()).toBe(JOB3);\n+    expect(priorityQueue.poll()).toBe(JOB2);\n+    expect(priorityQueue.poll()).toBe(JOB4);\n+    expect(priorityQueue.poll()).toBe(JOB1);\n   });\n \n   it('should be possible to change priority of head node', () => {\n     const priorityQueue = new PriorityQueue();\n \n-    priorityQueue.add(10, 1);\n-    priorityQueue.add(5, 2);\n-    priorityQueue.add(100, 0);\n-    priorityQueue.add(200, 0);\n+    priorityQueue.add(JOB1, 1);\n+    priorityQueue.add(JOB2, 2);\n+    priorityQueue.add(JOB3, 0);\n+    priorityQueue.add(JOB4, 0);\n \n-    priorityQueue.changePriority(200, 10);\n-    priorityQueue.changePriority(10, 20);\n+    priorityQueue.changePriority(JOB3, 10);\n+    priorityQueue.changePriority(JOB1, 20);\n \n-    expect(priorityQueue.poll()).toBe(100);\n-    expect(priorityQueue.poll()).toBe(5);\n-    expect(priorityQueue.poll()).toBe(200);\n-    expect(priorityQueue.poll()).toBe(10);\n+    expect(priorityQueue.poll()).toBe(JOB4);\n+    expect(priorityQueue.poll()).toBe(JOB2);\n+    expect(priorityQueue.poll()).toBe(JOB3);\n+    expect(priorityQueue.poll()).toBe(JOB1);\n   });\n \n   it('should be possible to change priority along with node addition', () => {\n     const priorityQueue = new PriorityQueue();\n \n-    priorityQueue.add(10, 1);\n-    priorityQueue.add(5, 2);\n-    priorityQueue.add(100, 0);\n-    priorityQueue.add(200, 0);\n+    priorityQueue.add(JOB1, 1);\n+    priorityQueue.add(JOB2, 2);\n+    priorityQueue.add(JOB3, 0);\n+    priorityQueue.add(JOB4, 0);\n \n-    priorityQueue.changePriority(200, 10);\n-    priorityQueue.changePriority(10, 20);\n+    priorityQueue.changePriority(JOB4, 10);\n+    priorityQueue.changePriority(JOB1, 20);\n \n-    priorityQueue.add(15, 15);\n+    priorityQueue.add(JOB5, 15);\n \n-    expect(priorityQueue.poll()).toBe(100);\n-    expect(priorityQueue.poll()).toBe(5);\n-    expect(priorityQueue.poll()).toBe(200);\n-    expect(priorityQueue.poll()).toBe(15);\n-    expect(priorityQueue.poll()).toBe(10);\n+    expect(priorityQueue.poll()).toBe(JOB3);\n+    expect(priorityQueue.poll()).toBe(JOB2);\n+    expect(priorityQueue.poll()).toBe(JOB4);\n+    expect(priorityQueue.poll()).toBe(JOB5);\n+    expect(priorityQueue.poll()).toBe(JOB1);\n+  });\n+\n+  it('should be possible to change the priority of a group of elements', () => {\n+    const A = 'a';\n+    const B = 'b';\n+    const jobA1 = { type: A, id: 1 };\n+    const jobB1 = { type: B, id: 2 };\n+    const jobB2 = { type: B, id: 3 };\n+\n+    const priorityQueue = new PriorityQueue();\n+\n+    priorityQueue.add(jobA1, 2);\n+    priorityQueue.add(jobB1, 8);\n+    priorityQueue.add(jobB2, 9);\n+\n+    expect(priorityQueue.peek()).toBe(jobA1);\n+\n+    const compareByType = (a, b) => {\n+      if (a.type === b.type) {\n+        return 0;\n+      }\n+\n+      return a.type < b.type ? -1 : 1;\n+    };\n+\n+    priorityQueue.changePriority({ type: B }, 1, compareByType);\n+\n+    expect(priorityQueue.poll().type).toBe(B);\n+    expect(priorityQueue.poll().type).toBe(B);\n   });\n \n   it('should be possible to search in priority queue by value', () => {\n     const priorityQueue = new PriorityQueue();\n \n-    priorityQueue.add(10, 1);\n-    priorityQueue.add(5, 2);\n-    priorityQueue.add(100, 0);\n-    priorityQueue.add(200, 0);\n-    priorityQueue.add(15, 15);\n+    priorityQueue.add(JOB1, 1);\n+    priorityQueue.add(JOB2, 2);\n+    priorityQueue.add(JOB3, 0);\n+    priorityQueue.add(JOB4, 0);\n+    priorityQueue.add(JOB5, 15);\n+\n+    const job6 = { type: 'job6' };\n+\n+    expect(priorityQueue.hasValue(job6)).toBe(false);\n+    expect(priorityQueue.hasValue(JOB5)).toBe(true);\n+  });\n+\n+  it('should accept a custom compareValue function', () => {\n+    const compareByType = (a, b) => {\n+      if (a.type === b.type) {\n+        return 0;\n+      }\n+\n+      return a.type < b.type ? -1 : 1;\n+    };\n+\n+    const priorityQueue = new PriorityQueue(compareByType);\n+\n+    priorityQueue.add(JOB1, 1);\n+    priorityQueue.add(JOB2, 2);\n+    priorityQueue.add(JOB3, 0);\n+\n+    const existingJobType = { type: 'job1' };\n+    const newJobType = { type: 'job4' };\n \n-    expect(priorityQueue.hasValue(70)).toBe(false);\n-    expect(priorityQueue.hasValue(15)).toBe(true);\n+    expect(priorityQueue.hasValue(existingJobType)).toBe(true);\n+    expect(priorityQueue.hasValue(newJobType)).toBe(false);\n   });\n });""}",[]
10,199,open,"Functions added:
- fastExponent(base, exponent) 
- modularExponent(base, exponent, m)

Files added:
- Algorithm Readme

Files updated:
- Root Readme

",7,"['README.md', 'package-lock.json', 'src/algorithms/math/fast-exponentiation/README.md', 'src/algorithms/math/fast-exponentiation/__test__/fastExponent.test.js', 'src/algorithms/math/fast-exponentiation/__test__/modularExponent.test.js', 'src/algorithms/math/fast-exponentiation/fastExponent.js', 'src/algorithms/math/fast-exponentiation/modularExponent.js']",2,"['Added fast-exponentiation algorithm', ""Merge branch 'master' into master""]","{'Name': 'src/algorithms/math/fast-exponentiation/modularExponent.js', 'Line Additions': 23, 'Line Deletions': 0, 'Patch': '@@ -0,0 +1,23 @@\n+/**\n+ * @param {number} base\n+ * @param {number} exponent\n+ * @param {number} m\n+ * @return {number}\n+ */\n+\n+export default function modularExponent(base, exponent, m) {\n+  let x = base;\n+  let y = exponent;\n+  let res = 1;\n+  const p = m;\n+\n+  x %= p;\n+\n+  while (y > 0) {\n+    if (y & 1) res = (res * x) % p;\n+    y >>= 1;\n+    x = (x * x) % p;\n+  }\n+\n+  return res;\n+}'}",[]
